id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
8601775,34603683,infostrada,4868492.0,-1.0,SIGUENI,Hicham,91445,Morocco,139,Morocco,16.0,8:27.82,507820.0,662399,3000m Steeplechase - Men,3000m Steeplechase - Men,Senior,30322,413,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,9,Demi-fond,146,3000m Steeplechase - Hommes,Hommes,Individuel,1,1,1,0,0,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
8601834,40362923,infostrada,14368239.0,-1.0,DOMÍNGUEZ,María Cecilia,98562,Argentina,9,Argentina,87.0,34:16.1,2056100.0,645834,10km Freestyle - Women,10km Freestyle - Women,Senior,33828,90,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,67,Ski de fond,Cross Country Skiing,108,Ski de fond,258,Ski de fond,895628,10km Style libre - Femmes,Femmes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
8601980,34543162,infostrada,4852117.0,-1.0,GRILLO,Emiliano,92217,Argentina,9,Argentina,8.0,-7,-7000.0,535443,Individual - Men,Individual - Men,Senior,29990,186,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,48,Golf,Golf,38,Golf,81,Golf,341,Golf Individuel - Hommes,Hommes,Individuel,1,1,1,0,0,27,Fédération Française de Golf,GOLF,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
8602172,52678256,infostrada,4926622.0,-1.0,SUM,Eunice Jepkoech,95235,Kenya,120,Kenya,34.0,2:03.00,123000.0,558702,800m - Women,800m - Women,Senior,35870,413,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,9,Demi-fond,6586,800m - Femmes,Femmes,Individuel,1,1,1,0,0,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
8602440,34512778,infostrada,4850610.0,-1.0,BEVAN,Brinn,94067,Great Britain,82,Great Britain,31.0,14.333,14333.0,543510,Rings - Men,Rings - Men,Senior,32737,488,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,26,Gymnastique artistique,Gymnastics - Artistic,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,618,Anneaux - Hommes,Hommes,Individuel,1,1,1,0,1,28,Fédération Française de Gymnastique,GYMNASTIQUE,2024-06-07 14:48:22.793,2025-01-02 02:01:03.210
8602518,34554749,infostrada,4730297.0,-1.0,CASTROVIEJO,Jonathan,95650,Spain,69,Spain,4.0,1:13:21.50,4401500.0,537719,Individual time trial - Men,Individual time trial - Men,Senior,26519,1203,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,37,Cyclisme - Route,Cycling - Road,23,Route,49,Course contre la montre,2,Contre la montre - Hommes,Hommes,Individuel,1,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
8602615,34622991,infostrada,4712722.0,-1.0,CHEKWEL,Juliet,91575,Uganda,229,Uganda,20.0,15:29.07,929070.0,639442,5000m - Women,5000m - Women,Senior,30322,413,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,11,Fond,6618,5000m - Femmes,Femmes,Individuel,1,1,1,0,0,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
8603011,402864054,infostrada,,,,,162957,Bertolasi/Patelli,113,Italy,11.0,7:24.51,444510.0,662409,Pair - Women,Pair - Women,Senior,29998,315,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,15,Aviron,Rowing,8,Aviron,25,Aviron,6522,Deux sans barreur - Femmes,Femmes,Equipe,0,1,1,0,0,79,Fédération Française d'Aviron,AVIRON,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
8603359,34513517,infostrada,4716454.0,-1.0,KOCHETKOV,Pavel,105589,Russia,286,Russia,38.0,6:22:23,22943000.0,529266,Road race - Men,Road race - Men,Senior,26519,1203,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,37,Cyclisme - Route,Cycling - Road,23,Route,50,Course en ligne,1,Course sur route - Hommes,Hommes,Individuel,1,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
8604102,52799174,infostrada,5038836.0,-1.0,EVGLEVSKI,Sergei,96380,Australia,13,Australia,17.0,572,572000.0,556519,25m Rapid Fire Pistol - Men,25m Rapid Fire Pistol - Men,Senior,35894,444,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,66,Tir,Shooting,137,Pistolet,217,25 mètres,224,25m Pistolet tir rapide - Hommes,Hommes,Individuel,1,1,1,0,1,67,Fédération Française de Tir,TIR,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
