product_id,category,sub_category,price,stock_quantity
0_1421,Vêtements,T-shirts,19.99,39
0_1368,Vêtements,T-shirts,5.13,76
0_731,Vêtements,T-shirts,17.99,2
1_587,Accessoires,Sacs à main,4.99,55
0_1507,Vêtements,T-shirts,3.99,81
0_1163,Vêtements,T-shirts,9.99,99
1_463,Accessoires,Sacs à main,36.99,65
0_2157,Vêtements,T-shirts,34.99,17
0_1915,Vêtements,T-shirts,16.99,1
0_389,Vêtements,T-shirts,18.99,4
2_228,Montres,Montres connectées,225.17,55
1_178,Accessoires,Sacs à main,51.92,36
1_143,Accessoires,Sacs à main,9.99,62
1_314,Accessoires,Sacs à main,9.0,88
0_1938,Vêtements,T-shirts,1.58,13
0_1232,Vêtements,T-shirts,26.65,48
0_2254,Vêtements,T-shirts,9.2,56
0_1713,Vêtements,T-shirts,13.99,67
0_835,Vêtements,T-shirts,6.99,84
0_1389,Vêtements,T-shirts,20.99,49
0_853,Vêtements,T-shirts,9.99,54
0_2131,Vêtements,T-shirts,8.99,32
1_259,Accessoires,Sacs à main,10.99,23
0_1070,Vêtements,T-shirts,4.38,56
1_504,Accessoires,Sacs à main,13.79,58
1_370,Accessoires,Sacs à main,13.11,53
1_716,Accessoires,Sacs à main,7.85,21
0_1505,Vêtements,T-shirts,14.99,18
0_2293,Vêtements,T-shirts,4.99,27
0_431,Vêtements,T-shirts,32.99,92
0_435,Vêtements,T-shirts,3.99,56
0_2120,Vêtements,T-shirts,26.97,91
1_532,Accessoires,Sacs à main,11.32,51
0_1795,Vêtements,T-shirts,17.99,36
0_668,Vêtements,T-shirts,2.51,42
0_1166,Vêtements,T-shirts,18.45,85
1_638,Accessoires,Sacs à main,30.92,57
1_549,Accessoires,Sacs à main,33.99,45
2_100,Montres,Montres connectées,72.11,60
0_97,Vêtements,T-shirts,11.99,56
0_2061,Vêtements,T-shirts,9.99,5
0_1619,Vêtements,T-shirts,4.99,15
1_707,Accessoires,Sacs à main,6.99,63
1_457,Accessoires,Sacs à main,22.99,82
0_1317,Vêtements,T-shirts,4.99,32
1_251,Accessoires,Sacs à main,15.99,34
0_1321,Vêtements,T-shirts,15.99,63
0_1629,Vêtements,T-shirts,40.99,91
1_124,Accessoires,Sacs à main,44.71,87
1_48,Accessoires,Sacs à main,47.22,34
0_2288,Vêtements,T-shirts,2.06,15
0_498,Vêtements,T-shirts,2.64,29
0_796,Vêtements,T-shirts,21.15,73
0_1949,Vêtements,T-shirts,3.99,89
0_1849,Vêtements,T-shirts,12.99,25
0_686,Vêtements,T-shirts,1.32,3
0_794,Vêtements,T-shirts,22.44,73
0_445,Vêtements,T-shirts,3.99,88
1_255,Accessoires,Sacs à main,32.99,12
1_665,Accessoires,Sacs à main,32.99,90
0_1240,Vêtements,T-shirts,22.7,75
0_1530,Vêtements,T-shirts,3.24,28
0_570,Vêtements,T-shirts,7.16,72
0_2188,Vêtements,T-shirts,14.65,26
2_89,Montres,Montres connectées,107.99,31
0_1939,Vêtements,T-shirts,17.99,60
0_1889,Vêtements,T-shirts,4.99,74
1_339,Accessoires,Sacs à main,22.99,53
0_1142,Vêtements,T-shirts,3.42,94
0_2299,Vêtements,T-shirts,3.99,29
0_1080,Vêtements,T-shirts,2.43,71
0_1912,Vêtements,T-shirts,1.89,98
0_1247,Vêtements,T-shirts,15.99,53
2_225,Montres,Montres connectées,157.99,40
0_1192,Vêtements,T-shirts,12.52,40
0_2035,Vêtements,T-shirts,17.99,93
0_548,Vêtements,T-shirts,37.53,87
0_1392,Vêtements,T-shirts,6.3,16
1_174,Accessoires,Sacs à main,44.09,27
2_187,Montres,Montres connectées,157.99,9
1_65,Accessoires,Sacs à main,32.99,96
0_1446,Vêtements,T-shirts,8.09,12
2_46,Montres,Montres connectées,41.31,24
0_2017,Vêtements,T-shirts,28.99,9
0_1509,Vêtements,T-shirts,4.99,85
0_1941,Vêtements,T-shirts,13.99,95
1_333,Accessoires,Sacs à main,15.99,22
0_1984,Vêtements,T-shirts,5.7,9
0_1549,Vêtements,T-shirts,25.99,21
1_165,Accessoires,Sacs à main,17.99,11
0_2289,Vêtements,T-shirts,17.99,67
1_723,Accessoires,Sacs à main,10.99,26
0_2305,Vêtements,T-shirts,3.99,79
0_283,Vêtements,T-shirts,1.99,56
0_56,Vêtements,T-shirts,27.6,92
2_128,Montres,Montres connectées,201.74,60
0_872,Vêtements,T-shirts,20.63,29
0_1635,Vêtements,T-shirts,16.99,97
0_356,Vêtements,T-shirts,12.14,26
1_107,Accessoires,Sacs à main,10.99,86
0_298,Vêtements,T-shirts,2.74,95
0_2031,Vêtements,T-shirts,22.99,6
2_215,Montres,Montres connectées,49.99,28
0_6,Vêtements,T-shirts,12.13,75
2_151,Montres,Montres connectées,156.99,8
0_602,Vêtements,T-shirts,13.89,82
2_176,Montres,Montres connectées,134.57,4
2_103,Montres,Montres connectées,157.99,36
0_1265,Vêtements,T-shirts,32.99,70
0_26,Vêtements,T-shirts,6.86,72
0_845,Vêtements,T-shirts,17.99,89
0_1960,Vêtements,T-shirts,2.16,18
1_666,Accessoires,Sacs à main,9.89,2
1_691,Accessoires,Sacs à main,45.99,7
0_1595,Vêtements,T-shirts,2.99,40
0_14,Vêtements,T-shirts,9.41,4
0_687,Vêtements,T-shirts,17.99,37
2_172,Montres,Montres connectées,158.17,90
1_482,Accessoires,Sacs à main,8.98,97
0_568,Vêtements,T-shirts,29.76,85
0_381,Vêtements,T-shirts,15.99,47
0_39,Vêtements,T-shirts,8.99,53
0_1176,Vêtements,T-shirts,7.65,82
1_57,Accessoires,Sacs à main,11.99,12
0_1380,Vêtements,T-shirts,7.45,36
0_1827,Vêtements,T-shirts,8.99,62
0_471,Vêtements,T-shirts,4.99,79
1_456,Accessoires,Sacs à main,28.27,34
0_1069,Vêtements,T-shirts,7.99,45
0_2104,Vêtements,T-shirts,7.98,87
0_1671,Vêtements,T-shirts,3.99,95
0_1144,Vêtements,T-shirts,18.87,67
0_1370,Vêtements,T-shirts,11.3,46
0_1649,Vêtements,T-shirts,27.99,11
0_1056,Vêtements,T-shirts,2.46,7
1_244,Accessoires,Sacs à main,3.64,21
0_1895,Vêtements,T-shirts,3.99,83
2_131,Montres,Montres connectées,127.99,24
0_1480,Vêtements,T-shirts,4.15,29
0_932,Vêtements,T-shirts,7.1,94
0_1013,Vêtements,T-shirts,4.99,11
0_1236,Vêtements,T-shirts,19.79,80
0_749,Vêtements,T-shirts,3.99,82
0_2064,Vêtements,T-shirts,9.85,9
0_1423,Vêtements,T-shirts,2.99,97
0_1203,Vêtements,T-shirts,0.99,83
0_1833,Vêtements,T-shirts,5.99,43
0_556,Vêtements,T-shirts,2.06,69
0_831,Vêtements,T-shirts,4.99,62
1_50,Accessoires,Sacs à main,20.93,99
1_231,Accessoires,Sacs à main,33.99,54
